name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Durban,South Africa",2022-04-01T00:00:00,24,24,22,88.6,0,0,,0,0,3.6,7.6,160,1015,27.4,10,0,0,0,10,Partially cloudy,partly-cloudy-night,"FALE,68592099999"
"Durban,South Africa",2022-04-01T01:00:00,21,21,18,82.99,0,0,,0,0,6.5,35.3,170,1016,88.9,8,0,0,0,10,Partially cloudy,partly-cloudy-night,"FALE,68592099999"
"Durban,South Africa",2022-04-01T02:00:00,21.7,21.7,17.3,76,0.014,100,rain,0,0,27.8,12.3,226,1016.5,88.9,8,0,0,0,10,"Rain, Partially cloudy",rain,"68588099999,FALE,68593099999,68583099999,68592099999,68582099999"
"Durban,South Africa",2022-04-01T03:00:00,20,20,17,82.87,0,0,rain,0,0,40,11.2,230,1016,88.9,8,0,0,0,10,Partially cloudy,partly-cloudy-night,"FALE,68592099999"
"Durban,South Africa",2022-04-01T04:00:00,19,19,17,88.19,0,0,rain,0,0,36.7,1.8,221.5,1016,88.9,10,0,0,0,10,Partially cloudy,partly-cloudy-night,"FALE,68592099999"
"Durban,South Africa",2022-04-01T05:00:00,20.5,20.5,17.7,84.06,0,0,,0,0,7.6,1.7,330,1015.5,88.9,10,0,0,0,10,Partially cloudy,partly-cloudy-night,"68588099999,FALE,68593099999,68583099999,68592099999,68582099999"
"Durban,South Africa",2022-04-01T06:00:00,22.8,22.8,21,90.02,0,0,,0,0,6.8,23.9,100,1014.6,88.9,10,0,0,0,10,Partially cloudy,partly-cloudy-night,"FALE,V7QJ5,68592099999"
"Durban,South Africa",2022-04-01T07:00:00,20,20,19,93.97,0,0,,0,0,4.7,1.8,292.3,1015,100,10,7,0,0,10,Overcast,cloudy,"FALE,68592099999"
"Durban,South Africa",2022-04-01T08:00:00,23.8,23.8,18.2,71.16,1.822,100,rain,0,0,5.5,2.1,303,1015.8,71.5,10,46,0.2,0,10,"Rain, Partially cloudy",rain,"68588099999,FALE,68593099999,68583099999,68592099999,68582099999"
"Durban,South Africa",2022-04-01T09:00:00,26,26,17,57.63,0,0,,0,0,3.2,5.4,240,1015,55.9,10,258,0.9,3,10,Partially cloudy,partly-cloudy-day,"FALE,68592099999"
"Durban,South Africa",2022-04-01T10:00:00,27,28.4,19.8,64.92,0,0,,0,0,4.3,25,100,1014.6,63,10,424,1.5,4,10,Partially cloudy,partly-cloudy-day,"FALE,V7QJ5,68592099999"
"Durban,South Africa",2022-04-01T11:00:00,27,27.8,17.5,56.15,0,0,,0,0,12.7,7.1,353,1015,73,10,612,2.2,6,10,Partially cloudy,partly-cloudy-day,"68588099999,FALE,68593099999,68583099999,68592099999,68582099999"
"Durban,South Africa",2022-04-01T12:00:00,27,27.7,17,54.33,0,0,,0,0,6.8,11.2,120,1014,62.3,10,572,2.1,6,10,Partially cloudy,partly-cloudy-day,"FALE,68592099999"
"Durban,South Africa",2022-04-01T13:00:00,25,25,17,61.16,0,0,,0,0,10.1,13,110,1013,27.4,10,654,2.4,7,3,Partially cloudy,partly-cloudy-day,"FALE,68592099999"
"Durban,South Africa",2022-04-01T14:00:00,26,26,18.5,63.09,0.042,100,rain,0,0,19.1,10.8,43,1013.8,27.4,10,728,2.6,7,10,"Rain, Partially cloudy",rain,"68588099999,FALE,68593099999,68583099999,68592099999,68582099999"
